SymbolSet;Entity;EntityType;EntitySubType;StandardIdentity;Code;GeometryType;IconType;UniqueName
45;Unspecified;;;;000000;NotValid;NA;Unspecified
45;Pressure Systems;Low Pressure Center;;;110100;Point;MAIN;Pressure Systems : Low Pressure Center
45;Pressure Systems;Low Pressure Center;Cyclone Center;;110101;Point;MAIN;Pressure Systems : Low Pressure Center : Cyclone Center
45;Pressure Systems;Low Pressure Center;Tropopause Low;;110102;Point;MAIN;Pressure Systems : Low Pressure Center : Tropopause Low
45;Pressure Systems;High Pressure Center;;;110200;Point;MAIN;Pressure Systems : High Pressure Center
45;Pressure Systems;High Pressure Center;Anticyclone Center;;110201;Point;MAIN;Pressure Systems : High Pressure Center : Anticyclone Center
45;Pressure Systems;High Pressure Center;Tropopause High;;110202;Point;MAIN;Pressure Systems : High Pressure Center : Tropopause High
45;Pressure Systems;Frontal Systems;Cold Front;;110301;Line;MAIN;Pressure Systems : Frontal Systems : Cold Front
45;Pressure Systems;Frontal Systems;Upper Cold Front;;110302;Line;MAIN;Pressure Systems : Frontal Systems : Upper Cold Front
45;Pressure Systems;Frontal Systems;Cold Frontogenesis;;110303;Line;MAIN;Pressure Systems : Frontal Systems : Cold Frontogenesis
45;Pressure Systems;Frontal Systems;Cold Frontolysis;;110304;Line;MAIN;Pressure Systems : Frontal Systems : Cold Frontolysis
45;Pressure Systems;Frontal Systems;Warm Front;;110305;Line;MAIN;Pressure Systems : Frontal Systems : Warm Front
45;Pressure Systems;Frontal Systems;Upper Warm Front;;110306;Line;MAIN;Pressure Systems : Frontal Systems : Upper Warm Front
45;Pressure Systems;Frontal Systems;Warm Frontogenesis;;110307;Line;MAIN;Pressure Systems : Frontal Systems : Warm Frontogenesis
45;Pressure Systems;Frontal Systems;Warm Frontolysis;;110308;Line;MAIN;Pressure Systems : Frontal Systems : Warm Frontolysis
45;Pressure Systems;Frontal Systems;Occluded Front;;110309;Line;MAIN;Pressure Systems : Frontal Systems : Occluded Front
45;Pressure Systems;Frontal Systems;Upper Occluded Front;;110310;Line;MAIN;Pressure Systems : Frontal Systems : Upper Occluded Front
45;Pressure Systems;Frontal Systems;Occluded Frontolysis;;110311;Line;MAIN;Pressure Systems : Frontal Systems : Occluded Frontolysis
45;Pressure Systems;Frontal Systems;Stationary Front;;110312;Line;MAIN;Pressure Systems : Frontal Systems : Stationary Front
45;Pressure Systems;Frontal Systems;Upper Stationary Front;;110313;Line;MAIN;Pressure Systems : Frontal Systems : Upper Stationary Front
45;Pressure Systems;Frontal Systems;Stationary Frontogenesis;;110314;Line;MAIN;Pressure Systems : Frontal Systems : Stationary Frontogenesis
45;Pressure Systems;Frontal Systems;Stationary Frontolysis;;110315;Line;MAIN;Pressure Systems : Frontal Systems : Stationary Frontolysis
45;Pressure Systems;Lines;Trough Axis;;110401;Line;MAIN;Pressure Systems : Lines : Trough Axis
45;Pressure Systems;Lines;Upper Trough Axis;;110402;Line;MAIN;Pressure Systems : Lines : Upper Trough Axis
45;Pressure Systems;Lines;Ridge Axis;;110403;Line;MAIN;Pressure Systems : Lines : Ridge Axis
45;Pressure Systems;Lines;Severe Squall Line;;110404;Line;MAIN;Pressure Systems : Lines : Severe Squall Line
45;Pressure Systems;Lines;Instability Line;;110405;Line;MAIN;Pressure Systems : Lines : Instability Line
45;Pressure Systems;Lines;Shear Line;;110406;Line;MAIN;Pressure Systems : Lines : Shear Line
45;Pressure Systems;Lines;Inter-Tropical Convergence Zone;;110407;Line;MAIN;Pressure Systems : Lines : Inter-Tropical Convergence Zone
45;Pressure Systems;Lines;Convergence Line;;110408;Line;MAIN;Pressure Systems : Lines : Convergence Line
45;Pressure Systems;Lines;Inter-Tropical Discontinuity;;110409;Line;MAIN;Pressure Systems : Lines : Inter-Tropical Discontinuity
45;Pressure Systems;Pressure Tendency;Rise Then Fall Higher;;110501;Point;MAIN;Pressure Systems : Pressure Tendency : Rise Then Fall Higher
45;Pressure Systems;Pressure Tendency;Rise Then Steady;;110502;Point;MAIN;Pressure Systems : Pressure Tendency : Rise Then Steady
45;Pressure Systems;Pressure Tendency;Rise;;110503;Point;MAIN;Pressure Systems : Pressure Tendency : Rise
45;Pressure Systems;Pressure Tendency;Rise Then Rise Higher;;110504;Point;MAIN;Pressure Systems : Pressure Tendency : Rise Then Rise Higher
45;Pressure Systems;Pressure Tendency;Steady;;110505;Point;MAIN;Pressure Systems : Pressure Tendency : Steady
45;Pressure Systems;Pressure Tendency;Fall Then Rise Lower;;110506;Point;MAIN;Pressure Systems : Pressure Tendency : Fall Then Rise Lower
45;Pressure Systems;Pressure Tendency;Fall Then Steady;;110507;Point;MAIN;Pressure Systems : Pressure Tendency : Fall Then Steady
45;Pressure Systems;Pressure Tendency;Fall;;110508;Point;MAIN;Pressure Systems : Pressure Tendency : Fall
45;Pressure Systems;Pressure Tendency;Rise Then Fall Lower;;110509;Point;MAIN;Pressure Systems : Pressure Tendency : Rise Then Fall Lower
45;Turbulence;Light;;;120100;Point;MAIN;Turbulence : Light
45;Turbulence;Moderate;;;120200;Point;MAIN;Turbulence : Moderate
45;Turbulence;Severe;;;120300;Point;MAIN;Turbulence : Severe
45;Turbulence;Extreme;;;120400;Point;MAIN;Turbulence : Extreme
45;Turbulence;Mountain Waves;;;120500;Point;MAIN;Turbulence : Mountain Waves
45;Icing;Clear Icing;Light;;130101;Point;MAIN;Icing : Clear Icing : Light
45;Icing;Clear Icing;Moderate;;130102;Point;MAIN;Icing : Clear Icing : Moderate
45;Icing;Clear Icing;Severe;;130103;Point;MAIN;Icing : Clear Icing : Severe
45;Icing;Rime Icing;Light;;130201;Point;MAIN;Icing : Rime Icing : Light
45;Icing;Rime Icing;Moderate;;130202;Point;MAIN;Icing : Rime Icing : Moderate
45;Icing;Rime Icing;Severe;;130203;Point;MAIN;Icing : Rime Icing : Severe
45;Icing;Mixed Icing;Light;;130301;Point;MAIN;Icing : Mixed Icing : Light
45;Icing;Mixed Icing;Moderate;;130302;Point;MAIN;Icing : Mixed Icing : Moderate
45;Icing;Mixed Icing;Severe;;130303;Point;MAIN;Icing : Mixed Icing : Severe
45;Winds;Calm Winds;;;140100;Point;MAIN;Winds : Calm Winds
45;Winds;Wind Plot;;;140200;Point;MAIN;Winds : Wind Plot
45;Winds;Jet Stream;;;140300;Line;MAIN;Winds : Jet Stream
45;Winds;Stream Line;;;140400;Line;MAIN;Winds : Stream Line
45;Cloud Cover;Cloud Coverage Symbols;Clear Sky;;150101;Point;MAIN;Cloud Cover : Cloud Coverage : Clear Sky
45;Cloud Cover;Cloud Coverage Symbols;Few Coverage;;150102;Point;MAIN;Cloud Cover : Cloud Coverage : Few Coverage
