SymbolSet;Entity;EntityType;EntitySubType;StandardIdentity;Code;GeometryType;IconType;UniqueName
46;Unspecified;;;;000000;NotValid;NA;Unspecified
46;Ice Systems;Icebergs;Many Icebergs;;110101;Point;MAIN;Ice Systems : Icebergs : Many Icebergs
46;Ice Systems;Icebergs;Belts and Strips;;110102;Point;MAIN;Ice Systems : Icebergs : Belts and Strips
46;Ice Systems;Icebergs;General;;110103;Point;MAIN;Ice Systems : Icebergs : General
46;Ice Systems;Icebergs;Many Icebergs - General;;110104;Point;MAIN;Ice Systems : Icebergs : Many Icebergs - General
46;Ice Systems;Icebergs;Bergy Bit;;110105;Point;MAIN;Ice Systems : Icebergs : Bergy Bit
46;Ice Systems;Icebergs;Many Bergy Bits;;110106;Point;MAIN;Ice Systems : Icebergs : Many Bergy Bits
46;Ice Systems;Icebergs;Growler;;110107;Point;MAIN;Ice Systems : Icebergs : Growler
46;Ice Systems;Icebergs;Many Growlers;;110108;Point;MAIN;Ice Systems : Icebergs : Many Growlers
46;Ice Systems;Icebergs;Floeberg;;110109;Point;MAIN;Ice Systems : Icebergs : Floeberg
46;Ice Systems;Icebergs;Ice Island;;110110;Point;MAIN;Ice Systems : Icebergs : Ice Island
46;Ice Systems;Ice Concentration;Bergy Water;;110201;Point;MAIN;Ice Systems : Ice Concentration : Bergy Water
46;Ice Systems;Ice Concentration;Water with Radar Targets;;110202;Point;MAIN;Ice Systems : Ice Concentration : Water with Radar Targets
46;Ice Systems;Ice Concentration;Ice Free;;110203;Point;MAIN;Ice Systems : Ice Concentration : Ice Free
46;Ice Systems;Dynamic Processes;Convergence;;110301;Point;MAIN;Ice Systems : Dynamic Processes : Convergence
46;Ice Systems;Dynamic Processes;Divergence;;110302;Point;MAIN;Ice Systems : Dynamic Processes : Divergence
46;Ice Systems;Dynamic Processes;Shearing or Shear Zone;;110303;Point;MAIN;Ice Systems : Dynamic Processes : Shearing or Shear Zone
46;Ice Systems;Dynamic Processes;Ice Drift (Direction);;110304;Point;MAIN;Ice Systems : Dynamic Processes : Ice Drift (Direction)
46;Ice Systems;Sea Ice;;;110400;Point;MAIN;Ice Systems : Sea Ice
46;Ice Systems;Sea Ice;Ice Thickness (Observed);;110401;Point;MAIN;Ice Systems : Sea Ice : Ice Thickness (Observed)
46;Ice Systems;Sea Ice;Ice Thickness (Estimated);;110402;Point;MAIN;Ice Systems : Sea Ice : Ice Thickness (Estimated)
46;Ice Systems;Sea Ice;Melt Puddles or Flooded Ice;;110403;Point;MAIN;Ice Systems : Sea Ice : Melt Puddles or Flooded Ice
46;Ice Systems;Limits;Limits of Visual Observation;;110501;Line;MAIN;Ice Systems : Limits : Limits of Visual Observation
46;Ice Systems;Limits;Limits of Under Cast;;110502;Line;MAIN;Ice Systems : Limits : Limits of Under Cast
46;Ice Systems;Limits;Limits of Radar Observation;;110503;Line;MAIN;Ice Systems : Limits : Limits of Radar Observation
46;Ice Systems;Limits;Observed Ice Edge or Boundary;;110504;Line;MAIN;Ice Systems : Limits : Observed Ice Edge or Boundary
46;Ice Systems;Limits;Estimated Ice Edge or Boundary;;110505;Line;MAIN;Ice Systems : Limits : Estimated Ice Edge or Boundary
46;Ice Systems;Limits;Ice Edge or Boundary From Radar;;110506;Line;MAIN;Ice Systems : Limits : Ice Edge or Boundary From Radar
46;Ice Systems;Openings in the Ice;Cracks;;110601;Line;MAIN;Ice Systems : Openings in the Ice : Cracks
46;Ice Systems;Openings in the Ice;Cracks at a Specific Location;;110602;Line;MAIN;Ice Systems : Openings in the Ice : Cracks at a Specific Location
46;Ice Systems;Openings in the Ice;Lead;;110603;Line;MAIN;Ice Systems : Openings in the Ice : Lead
46;Ice Systems;Openings in the Ice;Frozen Lead;;110604;Line;MAIN;Ice Systems : Openings in the Ice : Frozen Lead
46;Ice Systems;Snow Cover;;;110700;Point;MAIN;Ice Systems : Snow Cover
46;Ice Systems;Snow Cover;Sastrugi (with Orientation);;110701;Point;MAIN;Ice Systems : Snow Cover : Sastrugi (with Orientation)
46;Ice Systems;Topographical Features;Ridges or Hummocks;;110801;Point;MAIN;Ice Systems : Topographical Features : Ridges or Hummocks
46;Ice Systems;Topographical Features;Rafting;;110802;Point;MAIN;Ice Systems : Topographical Features : Rafting
46;Ice Systems;Topographical Features;Jammed Brash Barrier;;110803;Point;MAIN;Ice Systems : Topographical Features : Jammed Brash Barrier
46;Hydrography;Depth;Soundings;;120101;Point;MAIN;Hydrography : Depth : Soundings
46;Hydrography;Depth;Depth Curve;;120102;Line;MAIN;Hydrography : Depth : Depth Curve
46;Hydrography;Depth;Depth Contour;;120103;Line;MAIN;Hydrography : Depth : Depth Contour
46;Hydrography;Depth;Depth Area;;120104;Area;MAIN;Hydrography : Depth : Depth Area
46;Hydrography;Coastal Hydrography;Coastline;;120201;Line;MAIN;Hydrography : Coastal Hydrography : Coastline
46;Hydrography;Coastal Hydrography;Island;;120202;Area;MAIN;Hydrography : Coastal Hydrography : Island
46;Hydrography;Coastal Hydrography;Beach;;120203;Area;MAIN;Hydrography : Coastal Hydrography : Beach
46;Hydrography;Coastal Hydrography;Water;;120204;Area;MAIN;Hydrography : Coastal Hydrography : Water
46;Hydrography;Coastal Hydrography;Foreshore - Line;;120205;Line;MAIN;Hydrography : Coastal Hydrography : Foreshore - Line
46;Hydrography;Coastal Hydrography;Foreshore - Area;;120206;Area;MAIN;Hydrography : Coastal Hydrography : Foreshore - Area
46;Hydrography;Ports and Harbors;Berths (Onshore);;120302;Point;MAIN;Hydrography : Ports and Harbors : Berths (Onshore)
46;Hydrography;Ports and Harbors;Berths (Anchor);;120303;Point;MAIN;Hydrography : Ports and Harbors : Berths (Anchor)
46;Hydrography;Ports and Harbors;Anchorage - Point;;120304;Point;MAIN;Hydrography : Ports and Harbors : Anchorage - Point
46;Hydrography;Ports and Harbors;Anchorage - Line;;120305;Line;MAIN;Hydrography : Ports and Harbors : Anchorage - Line
46;Hydrography;Ports and Harbors;Anchorage - Area;;120306;Area;MAIN;Hydrography : Ports and Harbors : Anchorage - Area
46;Hydrography;Ports and Harbors;Call in Point;;120307;Point;MAIN;Hydrography : Ports and Harbors : Call in Point
46;Hydrography;Ports and Harbors;Pier/Wharf/Quay;;120308;Line;MAIN;Hydrography : Ports and Harbors : Pier/Wharf/Quay
46;Hydrography;Ports and Harbors;Fishing Harbor - Point;;120309;Point;MAIN;Hydrography : Ports and Harbors : Fishing Harbor - Point
46;Hydrography;Ports and Harbors;Fish Weirs - Point;;120310;Point;MAIN;Hydrography : Ports and Harbors : Fish Weirs - Point
46;Hydrography;Ports and Harbors;Fish Stakes - Point;;120311;Point;MAIN;Hydrography : Ports and Harbors : Fish Stakes - Point
46;Hydrography;Ports and Harbors;Fish Traps - Area;;120312;Area;MAIN;Hydrography : Ports and Harbors : Fish Traps - Area
46;Hydrography;Ports and Harbors;Drydock;;120314;Area;MAIN;Hydrography : Ports and Harbors : Drydock
46;Hydrography;Ports and Harbors;Landing Place;;120315;Point;MAIN;Hydrography : Ports and Harbors : Landing Place
46;Hydrography;Ports and Harbors;Offshore Loading Facility - Point;;120316;Point;MAIN;Hydrography : Ports and Harbors : Offshore Loading Facility - Point
46;Hydrography;Ports and Harbors;Offshore Loading Facility - Line;;120317;Line;MAIN;Hydrography : Ports and Harbors : Offshore Loading Facility - Line
46;Hydrography;Ports and Harbors;Offshore Loading Facility - Area;;120318;Area;MAIN;Hydrography : Ports and Harbors : Offshore Loading Facility - Area
46;Hydrography;Ports and Harbors;Ramp - Above Water;;120319;Line;MAIN;Hydrography : Ports and Harbors : Ramp - Above Water
46;Hydrography;Ports and Harbors;Ramp - Below Water;;120320;Line;MAIN;Hydrography : Ports and Harbors : Ramp - Below Water
46;Hydrography;Ports and Harbors;Landing Ring;;120321;Point;MAIN;Hydrography : Ports and Harbors : Landing Ring
46;Hydrography;Ports and Harbors;Ferry Crossing;;120322;Point;MAIN;Hydrography : Ports and Harbors : Ferry Crossing
46;Hydrography;Ports and Harbors;Cable Ferry Crossing;;120323;Point;MAIN;Hydrography : Ports and Harbors : Cable Ferry Crossing
46;Hydrography;Ports and Harbors;Dolphin;;120324;Point;MAIN;Hydrography : Ports and Harbors : Dolphin
46;Hydrography;Ports and Harbors;Breakwater/Groin/Jetty - Above Water;;120326;Line;MAIN;Hydrography : Ports and Harbors : Breakwater/Groin/Jetty - Above Water
46;Hydrography;Ports and Harbors;Breakwater/Groin/Jetty - Below Water;;120327;Line;MAIN;Hydrography : Ports and Harbors : Breakwater/Groin/Jetty - Below Water
46;Hydrography;Ports and Harbors;Seawall;;120328;Line;MAIN;Hydrography : Ports and Harbors : Seawall
46;Hydrography;Aids to Navigation;Beacon;;120401;Point;MAIN;Hydrography : Aids to Navigation : Beacon
46;Hydrography;Aids to Navigation;Buoy Default;;120402;Point;MAIN;Hydrography : Aids to Navigation : Buoy Default
46;Hydrography;Aids to Navigation;Marker;;120403;Point;MAIN;Hydrography : Aids to Navigation : Marker
46;Hydrography;Aids to Navigation;Perches/Stakes - Point;;120404;Point;MAIN;Hydrography : Aids to Navigation : Perches/Stakes - Point
46;Hydrography;Aids to Navigation;Perches/Stakes - Area;;120405;Area;MAIN;Hydrography : Aids to Navigation : Perches/Stakes - Area
46;Hydrography;Aids to Navigation;Light;;120406;Point;MAIN;Hydrography : Aids to Navigation : Light
