hierarchy;SIDC;fullpath;name;icon-png;icon-svg
1.X.1;S*P*------;SPACE TRACK;SPACE TRACK;1.X.1.png;1.X.1.svg
1.X.1.1;S*P*S-----;SPACE TRACK|SATELLITE;SATELLITE;1.X.1.1.png;1.X.1.1.svg
1.X.1.2;S*P*V-----;SPACE TRACK|CREWED SPACE VEHICLE;CREWED SPACE VEHICLE;1.X.1.2.png;1.X.1.2.svg
1.X.1.3;S*P*T-----;SPACE TRACK|SPACE STATION;SPACE STATION;1.X.1.3.png;1.X.1.3.svg
1.X.2;S*A*------;AIR TRACK;AIR TRACK;1.X.2.png;1.X.2.svg
1.X.2.1;S*A*M-----;AIR TRACK|MILITARY;MILITARY;1.X.2.1.png;1.X.2.1.svg
1.X.2.1.1;S*A*MF----;AIR TRACK|MILITARY|FIXED WING;FIXED WING;1.X.2.1.1.png;1.X.2.1.1.svg
1.X.2.1.1.1;S*A*MFB---;AIR TRACK|MILITARY|FIXED WING|BOMBER;BOMBER;1.X.2.1.1.1.png;1.X.2.1.1.1.svg
1.X.2.1.1.2;S*A*MFF---;AIR TRACK|MILITARY|FIXED WING|FIGHTER;FIGHTER;1.X.2.1.1.2.png;1.X.2.1.1.2.svg
1.X.2.1.1.2.1;S*A*MFFI--;AIR TRACK|MILITARY|FIXED WING|FIGHTER|INTERCEPTOR;INTERCEPTOR;1.X.2.1.1.2.1.png;1.X.2.1.1.2.1.svg
1.X.2.1.1.3;S*A*MFT---;AIR TRACK|MILITARY|FIXED WING|TRAINER;TRAINER;1.X.2.1.1.3.png;1.X.2.1.1.3.svg
1.X.2.1.1.4;S*A*MFA---;AIR TRACK|MILITARY|FIXED WING|ATTACK/STRIKE;ATTACK/STRIKE;1.X.2.1.1.4.png;1.X.2.1.1.4.svg
1.X.2.1.1.5;S*A*MFL---;AIR TRACK|MILITARY|FIXED WING|VSTOL;VSTOL;1.X.2.1.1.5.png;1.X.2.1.1.5.svg
1.X.2.1.1.6;S*A*MFK---;AIR TRACK|MILITARY|FIXED WING|TANKER;TANKER;1.X.2.1.1.6.png;1.X.2.1.1.6.svg
1.X.2.1.1.7;S*A*MFC---;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);1.X.2.1.1.7.png;1.X.2.1.1.7.svg
1.X.2.1.1.7.1;S*A*MFCL--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);1.X.2.1.1.7.1.png;1.X.2.1.1.7.1.svg
1.X.2.1.1.7.2;S*A*MFCM--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);1.X.2.1.1.7.2.png;1.X.2.1.1.7.2.svg
1.X.2.1.1.7.3;S*A*MFCH--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);1.X.2.1.1.7.3.png;1.X.2.1.1.7.3.svg
1.X.2.1.1.8;S*A*MFJ---;AIR TRACK|MILITARY|FIXED WING|ELECTRONIC COUNTERMEASURES(ECM/JAMMER);ELECTRONIC COUNTERMEASURES(ECM/JAMMER);1.X.2.1.1.8.png;1.X.2.1.1.8.svg
1.X.2.1.1.9;S*A*MFO---;AIR TRACK|MILITARY|FIXED WING|MEDEVAC;MEDEVAC;1.X.2.1.1.9.png;1.X.2.1.1.9.svg
1.X.2.1.1.10;S*A*MFR---;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE;RECONNAISSANCE;1.X.2.1.1.10.png;1.X.2.1.1.10.svg
1.X.2.1.1.10.1;S*A*MFRW--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|AIRBORNE EARLY WARNING (AEW);AIRBORNE EARLY WARNING (AEW);1.X.2.1.1.10.1.png;1.X.2.1.1.10.1.svg
1.X.2.1.1.10.2;S*A*MFRZ--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|ELECTRONIC SURVEILLANCE MEASURES;ELECTRONIC SURVEILLANCE MEASURES;1.X.2.1.1.10.2.png;1.X.2.1.1.10.2.svg
1.X.2.1.1.10.3;S*A*MFRX--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|PHOTOGRAPHIC;PHOTOGRAPHIC;1.X.2.1.1.10.3.png;1.X.2.1.1.10.3.svg
1.X.2.1.1.11;S*A*MFP---;AIR TRACK|MILITARY|FIXED WING|PATROL;PATROL;1.X.2.1.1.11.png;1.X.2.1.1.11.svg
1.X.2.1.1.11.1;S*A*MFPN--;AIR TRACK|MILITARY|FIXED WING|PATROL|ANTI SURFACE WARFARE/ASUW;ANTI SURFACE WARFARE/ASUW;1.X.2.1.1.11.1.png;1.X.2.1.1.11.1.svg
1.X.2.1.1.11.2;S*A*MFPM--;AIR TRACK|MILITARY|FIXED WING|PATROL|MINE COUNTER MEASURES;MINE COUNTER MEASURES;1.X.2.1.1.11.2.png;1.X.2.1.1.11.2.svg
1.X.2.1.1.12;S*A*MFU---;AIR TRACK|MILITARY|FIXED WING|UTILITY;UTILITY;1.X.2.1.1.12.png;1.X.2.1.1.12.svg
1.X.2.1.1.12.1;S*A*MFUL--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);1.X.2.1.1.12.1.png;1.X.2.1.1.12.1.svg
1.X.2.1.1.12.2;S*A*MFUM--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);1.X.2.1.1.12.2.png;1.X.2.1.1.12.2.svg
1.X.2.1.1.12.3;S*A*MFUH--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);1.X.2.1.1.12.3.png;1.X.2.1.1.12.3.svg
1.X.2.1.1.13;S*A*MFY---;AIR TRACK|MILITARY|FIXED WING|COMMUNICATIONS (C3I);COMMUNICATIONS (C3I);1.X.2.1.1.13.png;1.X.2.1.1.13.svg
1.X.2.1.1.14;S*A*MFH---;AIR TRACK|MILITARY|FIXED WING|SEARCH AND RESCUE (CSAR);SEARCH AND RESCUE (CSAR);1.X.2.1.1.14.png;1.X.2.1.1.14.svg
1.X.2.1.1.15;S*A*MFD---;AIR TRACK|MILITARY|FIXED WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);1.X.2.1.1.15.png;1.X.2.1.1.15.svg
1.X.2.1.1.16;S*A*MFQ---;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UAV);DRONE (RPV/UAV);1.X.2.1.1.16.png;1.X.2.1.1.16.svg
1.X.2.1.1.17;S*A*MFS---;AIR TRACK|MILITARY|FIXED WING|ANTI SUBMARINE WARFARE (ASW) CARRIER BASED;ANTI SUBMARINE WARFARE (ASW) CARRIER BASED;1.X.2.1.1.17.png;1.X.2.1.1.17.svg
