APP6-C-Domain;APP6-C-FullPath;APP6-NAME;APP6-NAME-FR;APP6-C-HIERARCHY-NAME;APP6-C-HIERARCHY;APP6-B-SIDC;APP6-C-SIDC;APP6-D-SIDC;APP6-D-Domain;APP6-D-Entity;APP6-D-EntityType;APP6-D-EntitySubtype
SPACE;SPACE TRACK;SPACE TRACK;PISTE SPATIALE;SPC;1.X.1;S*P*------;S*P*------;10030500001100000000;Space;Military;;
SPACE;SPACE TRACK|SATELLITE;SATELLITE;SATELLITE;SPC.SAT;1.X.1.1;S*P*S-----;S*P*S-----;10030500001107000000;Space;Military;Satellite;
SPACE;SPACE TRACK|SPACE STATION;SPACE STATION;STATION SPATIALE;SPC.SST;1.X.1.3;S*P*T-----;S*P*T-----;10030500001116000000;Space;Military;Space Station;
SPACE;SPACE TRACK|SPACE LAUNCH VEHICLE;SPACE LAUNCH VEHICLE;VEHICULE DE LANCEMENT SPATIAL;SPC.SLV;1.X.1.4;S*P*L-----;S*P*L-----;10030500001119000000;Space;Military;Space Launched Vehicle (SLV);
AIR;AIR TRACK;AIR TRACK;PISTE AERIENNE;AIRTRK;1.X.2;S*A*------;S*A*------;10030100000000000000;Air;Unspecified;;
AIR;AIR TRACK|MILITARY;MILITARY;MILITAIRE;AIRTRK.MIL;1.X.2.1;S*A*M-----;S*A*M-----;10030100001100000000;Air;Military;;
AIR;AIR TRACK|MILITARY|FIXED WING;FIXED WING;AILE FIXE;AIRTRK.MIL.FIXD;1.X.2.1.1;S*A*MF----;S*A*MF----;10030100001101000000;Air;Military;Fixed Wing;
AIR;AIR TRACK|MILITARY|FIXED WING|BOMBER;BOMBER;BOMBARDIER;AIRTRK.MIL.FIXD.BMB;1.X.2.1.1.1;S*A*MFB---;S*A*MFB---;10030100001101030000;Air;Military;Fixed Wing;Bomber
AIR;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE;RECONNAISSANCE;RECONNAISSANCE;AIRTRK.MIL.FIXD.RECON;1.X.2.1.1.10;S*A*MFR---;S*A*MFR---;10030100001101110000;Air;Military;Fixed Wing;Reconnaissance
AIR;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|AIRBORNE EARLY WARNING (AEW);AIRBORNE EARLY WARNING (AEW);ALERTE PRECOCE AEROPORTEE (AEW);AIRTRK.MIL.FIXD.RECON.ABNEW;1.X.2.1.1.10.1;S*A*MFRW--;S*A*MFRW--;10030100001101160000;Air;Military;Fixed Wing;Airborne Early Warning (AEW)
AIR;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|ELECTRONIC SURVEILLANCE MEASURES;ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ELECTRONIQUE;AIRTRK.MIL.FIXD.RECON.ESM;1.X.2.1.1.10.2;S*A*MFRZ--;S*A*MFRZ--;10030100001101210000;Air;Military;Fixed Wing;Electronic Support (ES)
AIR;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|PHOTOGRAPHIC;PHOTOGRAPHIC;PHOTOGRAPHIE;AIRTRK.MIL.FIXD.RECON.PHG;1.X.2.1.1.10.3;S*A*MFRX--;S*A*MFRX--;10030100001101280000;Air;Military;Fixed Wing;Photographic Reconnaissance
AIR;AIR TRACK|MILITARY|FIXED WING|PATROL;PATROL;PATROUILLE;AIRTRK.MIL.FIXD.PAT;1.X.2.1.1.11;S*A*MFP---;S*A*MFP---;10030100001101100000;Air;Military;Fixed Wing;Patrol
AIR;AIR TRACK|MILITARY|FIXED WING|PATROL|ANTISURFACE WARFARE (ASUW);ANTISURFACE WARFARE (ASUW);GUERRE ANTISURFACE (ASUW);AIRTRK.MIL.FIXD.PAT.ASUW;1.X.2.1.1.11.1;S*A*MFPN--;S*A*MFPN--;10030100001101170000;Air;Military;Fixed Wing;Antisurface Warfare
AIR;AIR TRACK|MILITARY|FIXED WING|PATROL|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;AIRTRK.MIL.FIXD.PAT.MNECM;1.X.2.1.1.11.2;S*A*MFPM--;S*A*MFPM--;10030100001101230000;Air;Military;Fixed Wing;Mine Countermeasures (MCM)
AIR;AIR TRACK|MILITARY|FIXED WING|UTILITY;UTILITY;UTILITE;AIRTRK.MIL.FIXD.UTY;1.X.2.1.1.12;S*A*MFU---;S*A*MFU---;10030100001101130000;Air;Military;Fixed Wing;Utility
AIR;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LEGER);AIRTRK.MIL.FIXD.UTY.LIT;1.X.2.1.1.12.1;S*A*MFUL--;S*A*MFUL--;10030100001101130003;Air;Military;Fixed Wing;Utility
AIR;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);AIRTRK.MIL.FIXD.UTY.MDM;1.X.2.1.1.12.2;S*A*MFUM--;S*A*MFUM--;10030100001101130002;Air;Military;Fixed Wing;Utility
