2525Charlie1stTen;2525Charlie;2525DeltaSymbolSet;2525DeltaEntity;2525DeltaMod1;2525DeltaMod2;2525DeltaName;2525DeltaMod1Name;2525DeltaMod2Name;DeltaToCharlie;Remarks
S*ZP------;SPZP-----------;00;000000;00;00;Unspecified;;;SPZP-----------;pass
S*APM-----;SPAPM----------;01;110000;00;00;Military (Air);Not Applicable;Not Applicable;SPAPM----------;pass
S*APMF----;SPAPMF---------;01;110100;00;00;Military (Air) : Fixed-Wing;Not Applicable;Not Applicable;SPAPMF---------;pass
S*APMFO---;SPAPMFO--------;01;110101;00;00;Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC);Not Applicable;Not Applicable;SPAPMFO--------;pass
S*APMFA---;SPAPMFA--------;01;110102;00;00;Military (Air) : Fixed-Wing : Attack/Strike;Not Applicable;Not Applicable;SPAPMFA--------;pass
S*APMFB---;SPAPMFB--------;01;110103;00;00;Military (Air) : Fixed-Wing : Bomber;Not Applicable;Not Applicable;SPAPMFB--------;pass
S*APMFF---;SPAPMFF--------;01;110104;00;00;Military (Air) : Fixed-Wing : Fighter;Not Applicable;Not Applicable;SPAPMFF--------;pass
S*APMFFI--;SPAPMFFI-------;01;110102;05;00;Military (Air) : Fixed-Wing : Attack/Strike;Military Aircraft Type : Interceptor;Not Applicable;SPAPMFFI-------;pass
S*APMFC---;SPAPMFC--------;01;110107;00;00;Military (Air) : Fixed-Wing : Cargo;Not Applicable;Not Applicable;SPAPMFC--------;pass
S*APMFCL--;SPAPMFCL-------;01;110107;00;03;Military (Air) : Fixed-Wing : Cargo;Not Applicable;Cargo/Transport Capacity : Light;SPAPMFCL-------;pass
S*APMFCM--;SPAPMFCM-------;01;110107;00;02;Military (Air) : Fixed-Wing : Cargo;Not Applicable;Cargo/Transport Capacity : Medium;SPAPMFCM-------;pass
S*APMFCH--;SPAPMFCH-------;01;110107;00;01;Military (Air) : Fixed-Wing : Cargo;Not Applicable;Cargo/Transport Capacity : Heavy;SPAPMFCH-------;pass
S*APMFJ---;SPAPMFJ--------;01;110108;00;00;Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer;Not Applicable;Not Applicable;SPAPMFJ--------;pass
S*APMFK---;SPAPMFK--------;01;110109;00;00;Military (Air) : Fixed-Wing : Tanker;Not Applicable;Not Applicable;SPAPMFK--------;pass
S*APMFKB--;SPAPMFKB-------;01;110109;00;04;Military (Air) : Fixed-Wing : Tanker;Not Applicable;Re-fueling Capability : Boom-Only;SPAPMFKB-------;pass
S*APMFKD--;SPAPMFKD-------;01;110109;00;05;Military (Air) : Fixed-Wing : Tanker;Not Applicable;Re-fueling Capability : Drogue-Only;SPAPMFKD-------;pass
S*APMFP---;SPAPMFP--------;01;110110;00;00;Military (Air) : Fixed-Wing : Patrol;Not Applicable;Not Applicable;SPAPMFP--------;pass
S*APMFR---;SPAPMFR--------;01;110111;00;00;Military (Air) : Fixed-Wing : Reconnaissance;Not Applicable;Not Applicable;SPAPMFR--------;pass
S*APMFT---;SPAPMFT--------;01;110112;00;00;Military (Air) : Fixed-Wing : Trainer;Not Applicable;Not Applicable;SPAPMFT--------;pass
S*APMFU---;SPAPMFU--------;01;110113;00;00;Military (Air) : Fixed-Wing : Utility;Not Applicable;Not Applicable;SPAPMFU--------;pass
S*APMFUL--;SPAPMFUL-------;01;110113;00;03;Military (Air) : Fixed-Wing : Utility;Not Applicable;Cargo/Transport Capacity : Light;SPAPMFUL-------;pass
S*APMFUM--;SPAPMFUM-------;01;110113;00;02;Military (Air) : Fixed-Wing : Utility;Not Applicable;Cargo/Transport Capacity : Medium;SPAPMFUM-------;pass
S*APMFUH--;SPAPMFUH-------;01;110113;00;01;Military (Air) : Fixed-Wing : Utility;Not Applicable;Cargo/Transport Capacity : Heavy;SPAPMFUH-------;pass
S*APMFL---;SPAPMFL--------;01;110114;00;00;Military (Air) : Fixed-Wing : VSTOL;Not Applicable;Not Applicable;SPAPMFL--------;pass
S*APMFD---;SPAPMFD--------;01;110115;00;00;Military (Air) : Fixed-Wing : Airborne Command Post (ACP);Not Applicable;Not Applicable;SPAPMFD--------;pass
S*APMFRW--;SPAPMFRW-------;01;110116;00;00;Military (Air) : Fixed-Wing : Airborne Early Warning (AEW);Not Applicable;Not Applicable;SPAPMFRW-------;pass
S*APMFPN--;SPAPMFPN-------;01;110117;00;00;Military (Air) : Fixed-Wing : Antisurface Warfare;Not Applicable;Not Applicable;SPAPMFPN-------;pass
S*APMFS---;SPAPMFS--------;01;110118;00;00;Military (Air) : Fixed-Wing : Antisubmarine Warfare;Not Applicable;Not Applicable;SPAPMFS--------;pass
S*APMFY---;SPAPMFY--------;01;110119;00;00;Military (Air) : Fixed-Wing : Communications;Not Applicable;Not Applicable;SPAPMFY--------;pass
S*APMFH---;SPAPMFH--------;01;110120;00;00;Military (Air) : Fixed-Wing : Combat Search and Rescue (CSAR);Not Applicable;Not Applicable;SPAPMFH--------;pass
S*APMFRZ--;SPAPMFRZ-------;01;110121;00;00;Military (Air) : Fixed-Wing : Electronic Support (ES);Not Applicable;Not Applicable;SPAPMFRZ-------;pass
S*APMFPM--;SPAPMFPM-------;01;110123;00;00;Military (Air) : Fixed-Wing : Mine Countermeasures (MCM);Not Applicable;Not Applicable;SPAPMFPM-------;pass
S*APMFM---;SPAPMFM--------;01;110126;00;00;Military (Air) : Fixed-Wing : Special Operations Forces;Not Applicable;Not Applicable;SPAPMFM--------;pass
S*APMFRX--;SPAPMFRX-------;01;110128;00;00;Military (Air) : Fixed-Wing : Photographic Reconnaissance;Not Applicable;Not Applicable;SPAPMFRX-------;pass
S*APMV----;SPAPMV---------;01;110129;00;00;Military (Air) : Fixed-Wing : Very Important Person (VIP);Not Applicable;Not Applicable;SPAPMV---------;pass
S*APME----;SPAPME---------;01;110132;00;00;Military (Air) : Fixed-Wing : Escort;Not Applicable;Not Applicable;SPAPME---------;pass
S*APMH----;SPAPMH---------;01;110200;00;00;Military (Air) : Rotary-Wing;Not Applicable;Not Applicable;SPAPMH---------;pass
S*APMHA---;SPAPMHA--------;01;110200;01;00;Military (Air) : Rotary-Wing;Military Aircraft Type : Attack/Strike;Not Applicable;SPAPMHA--------;pass
S*APMHS---;SPAPMHS--------;01;110200;32;00;Military (Air) : Rotary-Wing;Military Mission Area : Antisurface Warfare;Not Applicable;SPAPMHS--------;pass
S*APMHU---;SPAPMHU--------;01;110200;07;00;Military (Air) : Rotary-Wing;Aircraft Type : Utility;Not Applicable;SPAPMHU--------;pass
S*APMHUL--;SPAPMHUL-------;01;110200;07;03;Military (Air) : Rotary-Wing;Aircraft Type : Utility;Cargo/Transport Capacity : Light;SPAPMHUL-------;pass
S*APMHUM--;SPAPMHUM-------;01;110200;07;02;Military (Air) : Rotary-Wing;Aircraft Type : Utility;Cargo/Transport Capacity : Medium;SPAPMHUM-------;pass
S*APMHUH--;SPAPMHUH-------;01;110200;07;01;Military (Air) : Rotary-Wing;Aircraft Type : Utility;Cargo/Transport Capacity : Heavy;SPAPMHUH-------;pass
S*APMHI---;SPAPMHI--------;01;110200;25;00;Military (Air) : Rotary-Wing;Military Mission Area : Mine Countermeasures (MCM);Not Applicable;SPAPMHI--------;pass
S*APMHH---;SPAPMHH--------;01;110200;30;00;Military (Air) : Rotary-Wing;Military Mission Area : Combat Search and Rescue (CSAR);Not Applicable;SPAPMHH--------;pass
S*APMHR---;SPAPMHR--------;01;110200;18;00;Military (Air) : Rotary-Wing;Mission Area : Reconnaissance;Not Applicable;SPAPMHR--------;pass
S*APMHC---;SPAPMHC--------;01;110200;03;00;Military (Air) : Rotary-Wing;Aircraft Type : Cargo;Not Applicable;SPAPMHC--------;pass
S*APMHCL--;SPAPMHCL-------;01;110200;03;03;Military (Air) : Rotary-Wing;Aircraft Type : Cargo;Cargo/Transport Capacity : Light;SPAPMHCL-------;pass
S*APMHCM--;SPAPMHCM-------;01;110200;03;02;Military (Air) : Rotary-Wing;Aircraft Type : Cargo;Cargo/Transport Capacity : Medium;SPAPMHCM-------;pass
S*APMHCH--;SPAPMHCH-------;01;110200;03;01;Military (Air) : Rotary-Wing;Aircraft Type : Cargo;Cargo/Transport Capacity : Heavy;SPAPMHCH-------;pass
S*APMHT---;SPAPMHT--------;01;110200;19;00;Military (Air) : Rotary-Wing;Mission Area : Trainer;Not Applicable;SPAPMHT--------;pass
S*APMHO---;SPAPMHO--------;01;110200;14;00;Military (Air) : Rotary-Wing;Mission Area : Medical Evacuation (MEDEVAC);Not Applicable;SPAPMHO--------;pass
S*APMHM---;SPAPMHM--------;01;110200;27;00;Military (Air) : Rotary-Wing;Military Mission Area : Special Operations Forces;Not Applicable;SPAPMHM--------;pass
S*APMHD---;SPAPMHD--------;01;110200;11;00;Military (Air) : Rotary-Wing;Military Aircraft Type : Airborne Command Post (ACP);Not Applicable;SPAPMHD--------;pass
S*APMHK---;SPAPMHK--------;01;110200;06;00;Military (Air) : Rotary-Wing;Aircraft Type : Tanker;Not Applicable;SPAPMHK--------;pass
S*APMHJ---;SPAPMHJ--------;01;110200;16;00;Military (Air) : Rotary-Wing;Military Mission Area : Electronic Combat (EC)/Jammer;Not Applicable;SPAPMHJ--------;pass
S*APMFQ---;SPAPMFQ--------;01;110300;00;00;Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV);Not Applicable;Not Applicable;SPAPMFQ--------;pass
S*APMFQA--;SPAPMFQA-------;01;110300;01;00;Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV);Military Aircraft Type : Attack/Strike;Not Applicable;SPAPMFQA-------;pass
S*APMFQB--;SPAPMFQB-------;01;110300;02;00;Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV);Military Aircraft Type : Bomber;Not Applicable;SPAPMFQB-------;pass
S*APMFQC--;SPAPMFQC-------;01;110300;03;00;Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV);Aircraft Type : Cargo;Not Applicable;SPAPMFQC-------;pass
S*APMFQD--;SPAPMFQD-------;01;110300;11;00;Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV);Military Aircraft Type : Airborne Command Post (ACP);Not Applicable;SPAPMFQD-------;pass
S*APMFQRW-;SPAPMFQRW------;01;110300;12;00;Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV);Military Aircraft Type : Airborne Early Warning (AEW);Not Applicable;SPAPMFQRW------;pass
