hierarchy;SIDC;fullpath;name;nameFR;icon-png;icon-svg
1.X.1;S*P*------;SPACE TRACK;SPACE TRACK;PISTE SPATIALE;1.X.1.png;1.X.1.svg
1.X.1.1;S*P*S-----;SPACE TRACK|SATELLITE;SATELLITE;SATELLITE;1.X.1.1.png;1.X.1.1.svg
1.X.1.2;S*P*V-----;SPACE TRACK|CREWED SPACE VEHICLE;CREWED SPACE VEHICLE;VEHICULE SPATIAL AVEC EQUIPAGE;1.X.1.2.png;1.X.1.2.svg
1.X.1.3;S*P*T-----;SPACE TRACK|SPACE STATION;SPACE STATION;STATION SPATIALE;1.X.1.3.png;1.X.1.3.svg
1.X.1.4;S*P*L-----;SPACE TRACK|SPACE LAUNCH VEHICLE;SPACE LAUNCH VEHICLE;VEHICULE DE LANCEMENT SPATIAL;1.X.1.4.png;1.X.1.4.svg
1.X.2;S*A*------;AIR TRACK;AIR TRACK;PISTE AERIENNE;1.X.2.png;1.X.2.svg
1.X.2.1;S*A*M-----;AIR TRACK|MILITARY;MILITARY;MILITAIRE;1.X.2.1.png;1.X.2.1.svg
1.X.2.1.1;S*A*MF----;AIR TRACK|MILITARY|FIXED WING;FIXED WING;AILE FIXE;1.X.2.1.1.png;1.X.2.1.1.svg
1.X.2.1.1.1;S*A*MFB---;AIR TRACK|MILITARY|FIXED WING|BOMBER;BOMBER;BOMBARDIER;1.X.2.1.1.1.png;1.X.2.1.1.1.svg
1.X.2.1.1.2;S*A*MFF---;AIR TRACK|MILITARY|FIXED WING|FIGHTER;FIGHTER;CHASSEUR;1.X.2.1.1.2.png;1.X.2.1.1.2.svg
1.X.2.1.1.2.1;S*A*MFFI--;AIR TRACK|MILITARY|FIXED WING|FIGHTER|INTERCEPTOR;INTERCEPTOR;INTERCEPTEUR;1.X.2.1.1.2.1.png;1.X.2.1.1.2.1.svg
1.X.2.1.1.3;S*A*MFT---;AIR TRACK|MILITARY|FIXED WING|TRAINER;TRAINER;FORMATEUR;1.X.2.1.1.3.png;1.X.2.1.1.3.svg
1.X.2.1.1.4;S*A*MFA---;AIR TRACK|MILITARY|FIXED WING|ATTACK/STRIKE;ATTACK/STRIKE;ATTAQUE/FRAPPE;1.X.2.1.1.4.png;1.X.2.1.1.4.svg
1.X.2.1.1.5;S*A*MFL---;AIR TRACK|MILITARY|FIXED WING|V/STOL;V/STOL;V/STOL;1.X.2.1.1.5.png;1.X.2.1.1.5.svg
1.X.2.1.1.6;S*A*MFK---;AIR TRACK|MILITARY|FIXED WING|TANKER;TANKER;CITERNE;1.X.2.1.1.6.png;1.X.2.1.1.6.svg
1.X.2.1.1.6.1;S*A*MFKB--;AIR TRACK|MILITARY|FIXED WING|TANKER|TANKER BOOM-ONLY;TANKER BOOM-ONLY;RAVITAILLEUR A FLECHE UNIQUEMENT;1.X.2.1.1.6.1.png;1.X.2.1.1.6.1.svg
1.X.2.1.1.6.2;S*A*MFKD--;AIR TRACK|MILITARY|FIXED WING|TANKER|TANKER DROGUE-ONLY;TANKER DROGUE-ONLY;RAVITAILLEUR DOSEUR UNIQUEMENT;1.X.2.1.1.6.2.png;1.X.2.1.1.6.2.svg
1.X.2.1.1.7;S*A*MFC---;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT);1.X.2.1.1.7.png;1.X.2.1.1.7.svg
1.X.2.1.1.7.1;S*A*MFCL--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER);1.X.2.1.1.7.1.png;1.X.2.1.1.7.1.svg
1.X.2.1.1.7.2;S*A*MFCM--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);TRANSPORT AERIEN DE FRET (MOYEN);1.X.2.1.1.7.2.png;1.X.2.1.1.7.2.svg
1.X.2.1.1.7.3;S*A*MFCH--;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);TRANSPORT AERIEN DE FRET (LOURD);1.X.2.1.1.7.3.png;1.X.2.1.1.7.3.svg
1.X.2.1.1.8;S*A*MFJ---;AIR TRACK|MILITARY|FIXED WING|ELECTRONIC COUNTERMEASURES (ECM/JAMMER);ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER);1.X.2.1.1.8.png;1.X.2.1.1.8.svg
1.X.2.1.1.9;S*A*MFO---;AIR TRACK|MILITARY|FIXED WING|MEDICAL EVACUATION (MEDEVAC);MEDICAL EVACUATION (MEDEVAC);EVACUATION MEDICALE (MEDEVAC);1.X.2.1.1.9.png;1.X.2.1.1.9.svg
1.X.2.1.1.10;S*A*MFR---;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE;RECONNAISSANCE;RECONNAISSANCE;1.X.2.1.1.10.png;1.X.2.1.1.10.svg
1.X.2.1.1.10.1;S*A*MFRW--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|AIRBORNE EARLY WARNING (AEW);AIRBORNE EARLY WARNING (AEW);ALERTE PRECOCE AEROPORTEE (AEW);1.X.2.1.1.10.1.png;1.X.2.1.1.10.1.svg
1.X.2.1.1.10.2;S*A*MFRZ--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|ELECTRONIC SURVEILLANCE MEASURES;ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ELECTRONIQUE;1.X.2.1.1.10.2.png;1.X.2.1.1.10.2.svg
1.X.2.1.1.10.3;S*A*MFRX--;AIR TRACK|MILITARY|FIXED WING|RECONNAISSANCE|PHOTOGRAPHIC;PHOTOGRAPHIC;PHOTOGRAPHIE;1.X.2.1.1.10.3.png;1.X.2.1.1.10.3.svg
1.X.2.1.1.11;S*A*MFP---;AIR TRACK|MILITARY|FIXED WING|PATROL;PATROL;PATROUILLE;1.X.2.1.1.11.png;1.X.2.1.1.11.svg
1.X.2.1.1.11.1;S*A*MFPN--;AIR TRACK|MILITARY|FIXED WING|PATROL|ANTISURFACE WARFARE (ASUW);ANTISURFACE WARFARE (ASUW);GUERRE ANTISURFACE (ASUW);1.X.2.1.1.11.1.png;1.X.2.1.1.11.1.svg
1.X.2.1.1.11.2;S*A*MFPM--;AIR TRACK|MILITARY|FIXED WING|PATROL|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;1.X.2.1.1.11.2.png;1.X.2.1.1.11.2.svg
1.X.2.1.1.12;S*A*MFU---;AIR TRACK|MILITARY|FIXED WING|UTILITY;UTILITY;UTILITE;1.X.2.1.1.12.png;1.X.2.1.1.12.svg
1.X.2.1.1.12.1;S*A*MFUL--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LEGER);1.X.2.1.1.12.1.png;1.X.2.1.1.12.1.svg
1.X.2.1.1.12.2;S*A*MFUM--;AIR TRACK|MILITARY|FIXED WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);1.X.2.1.1.12.2.png;1.X.2.1.1.12.2.svg
