CODE;SYMBOL_CODE;DESCRIPTION
1.X.1;S*P*------;SPACE TRACK
1.X.1.1;S*P*S-----;SATELLITE
1.X.1.2;S*P*V-----;CREWED SPACE VEHICLE
1.X.1.3;S*P*T-----;SPACE STATION
1.X.2;S*A*------;AIR TRACK
1.X.2.1;S*A*M-----;MILITARY
1.X.2.1.1;S*A*MF----;FIXED WING
1.X.2.1.1.1;S*A*MFB---;BOMBER
1.X.2.1.1.2;S*A*MFF---;FIGHTER
1.X.2.1.1.2.1;S*A*MFFI--;INTERCEPTOR
1.X.2.1.1.3;S*A*MFT---;TRAINER
1.X.2.1.1.4;S*A*MFA---;ATTACK/STRIKE
1.X.2.1.1.5;S*A*MFL---;VSTOL
1.X.2.1.1.6;S*A*MFK---;TANKER
1.X.2.1.1.7;S*A*MFC---;CARGO AIRLIFT (TRANSPORT)
1.X.2.1.1.7.1;S*A*MFCL--;CARGO AIRLIFT (LIGHT)
1.X.2.1.1.7.2;S*A*MFCM--;CARGO AIRLIFT (MEDIUM)
1.X.2.1.1.7.3;S*A*MFCH--;CARGO AIRLIFT (HEAVY)
1.X.2.1.1.8;S*A*MFJ---;ELECTRONIC COUNTERMEASURES(ECM/JAMMER)
1.X.2.1.1.9;S*A*MFO---;MEDEVAC
1.X.2.1.1.10;S*A*MFR---;RECONNAISSANCE
1.X.2.1.1.10.1;S*A*MFRW--;AIRBORNE EARLY WARNING (AEW)
1.X.2.1.1.10.2;S*A*MFRZ--;ELECTRONIC SURVEILLANCE MEASURES
1.X.2.1.1.10.3;S*A*MFRX--;PHOTOGRAPHIC
1.X.2.1.1.11;S*A*MFP---;PATROL
1.X.2.1.1.11.1;S*A*MFPN--;ANTI SURFACE WARFARE/ASUW
1.X.2.1.1.11.2;S*A*MFPM--;MINE COUNTER MEASURES
1.X.2.1.1.12;S*A*MFU---;UTILITY
1.X.2.1.1.12.1;S*A*MFUL--;UTILITY (LIGHT)
1.X.2.1.1.12.2;S*A*MFUM--;UTILITY (MEDIUM)
1.X.2.1.1.12.3;S*A*MFUH--;UTILITY (HEAVY)
1.X.2.1.1.13;S*A*MFY---;COMMUNICATIONS (C3I)
1.X.2.1.1.14;S*A*MFH---;SEARCH AND RESCUE (CSAR)
1.X.2.1.1.15;S*A*MFD---;AIRBORNE COMMAND POST (C2)
1.X.2.1.1.16;S*A*MFQ---;DRONE (RPV/UAV)
1.X.2.1.1.17;S*A*MFS---;ANTI SUBMARINE WARFARE (ASW) CARRIER BASED
1.X.2.1.1.18;S*A*MFM---;SPECIAL OPERATIONS FORCE (SOF)
1.X.2.1.2;S*A*MH----;ROTARY WING
1.X.2.1.2.1;S*A*MHA---;ATTACK
1.X.2.1.2.2;S*A*MHS---;ANTISUBMARINE WARFARE
1.X.2.1.2.3;S*A*MHU---;UTILITY
1.X.2.1.2.3.1;S*A*MHUL--;UTILITY (LIGHT)
1.X.2.1.2.3.2;S*A*MHUM--;UTILITY (MEDIUM)
1.X.2.1.2.3.3;S*A*MHUH--;UTILITY (HEAVY)
1.X.2.1.2.4;S*A*MHI---;MINE COUNTER MEASURES
1.X.2.1.2.5;S*A*MHH---;COMBAT SEARCH AND RESCUE (CSAR)
1.X.2.1.2.6;S*A*MHR---;RECONNAISSANCE
1.X.2.1.2.7;S*A*MHQ---;DRONE (RPV/UAV)
1.X.2.1.2.8;S*A*MHC---;CARGO AIRLIFT (TRANSPORT)
1.X.2.1.2.8.1;S*A*MHCL--;CARGO AIRLIFT (LIGHT)
1.X.2.1.2.8.2;S*A*MHCM--;CARGO AIRLIFT (MEDIUM)
1.X.2.1.2.8.3;S*A*MHCH--;CARGO AIRLIFT (HEAVY)
1.X.2.1.2.9;S*A*MHT---;TRAINER
1.X.2.1.2.10;S*A*MHO---;MEDEVAC
1.X.2.1.2.11;S*A*MHM---;SPECIAL OPERATIONS FORCE (SOF)
1.X.2.1.2.12;S*A*MHD---;AIRBORNE COMMAND POST (C2)
1.X.2.1.2.13;S*A*MHK---;TANKER
1.X.2.1.2.14;S*A*MHJ---;ELECTRONIC COUNTER MEASURES (ECM/JAMMER)
1.X.2.1.3;S*A*ML----;LIGHTER THAN AIR
1.X.2.2;S*A*W-----;WEAPON
1.X.2.2.1;S*A*WM----;MISSILE IN FLIGHT
1.X.2.2.1.1;S*A*WMS---;SURFACE/LAND LAUNCHED MISSILE
1.X.2.2.1.1.1;S*A*WMSS--;SURFACE TO SURFACE MISSILE (SSM)
1.X.2.2.1.1.2;S*A*WMSA--;SURFACE TO AIR MISSILE (SAM)
1.X.2.2.1.2;S*A*WMA---;AIR LAUNCHED MISSILE
1.X.2.2.1.2.1;S*A*WMAS--;AIR TO SURFACE MISSILE (ASM)
1.X.2.2.1.2.2;S*A*WMAA--;AIR TO AIR MISSILE (AAM)
1.X.2.2.1.3;S*A*WMU---;SUBSURFACE TO SURFACE MISSILE (S/SSM)
1.X.2.2.1.4;S*A*WML---;LAND ATTACK MISSILE
1.X.2.2.2;S*A*WD----;DECOY
1.X.2.3;S*A*C-----;CIVIL AIRCRAFT
1.X.2.3.1;S*A*CF----;FIXED WING
1.X.2.3.2;S*A*CH----;ROTARY WING
1.X.2.3.3;S*A*CL----;LIGHTER THAN AIR
1.X.3;S*G*------;GROUND TRACK
1.X.3.1;S*G*U-----;UNIT
1.X.3.1.1;S*G*UC----;COMBAT
1.X.3.1.1.1;S*G*UCD---;AIR DEFENCE
1.X.3.1.1.1.1;S*G*UCDS--;SHORT RANGE
1.X.3.1.1.1.1.1;S*G*UCDS--;MISSILE
1.X.3.1.1.1.1.2;S*G*UCDS--;GUN
1.X.3.1.1.1.2;S*G*UCDM--;AIR DEFENCE MISSILE
1.X.3.1.1.1.2.1;S*G*UCDML-;AIR DEFENCE MISSILE LIGHT
1.X.3.1.1.1.2.1.1;S*G*UCDMLA;AIR DEFENCE MISSILE MOTORIZED
1.X.3.1.1.1.2.2;S*G*UCDMM-;AIR DEFENCE MISSILE MEDIUM
1.X.3.1.1.1.2.3;S*G*UCDMH-;AIR DEFENCE MISSILE HEAVY
1.X.3.1.1.1.2.4;S*G*UCDH--;H/MAD
1.X.3.1.1.1.3;S*G*UCDG--;GUN UNIT
1.X.3.1.1.1.4;S*G*UCDC--;COMPOSITE
1.X.3.1.1.1.5;S*G*UCDT--;TARGETING UNIT
1.X.3.1.1.1.6;S*G*UCDO--;THEATRE MISSILE DEFENCE UNIT
1.X.3.1.1.2;S*G*UCA---;ARMOUR
1.X.3.1.1.2.1;S*G*UCAT--;ARMOUR TRACK
1.X.3.1.1.2.1.1;S*G*UCATA-;ARMOUR TRACK AIRBORNE
1.X.3.1.1.2.1.2;S*G*UCATW-;ARMOUR TRACK AMPHIBIOUS
1.X.3.1.1.2.1.2.1;S*G*UCATWR;ARMOUR TRACK AMPHIBIOUS RECOVERY
1.X.3.1.1.2.1.3;S*G*UCATL-;"ARMOUR TRACK, LIGHT"
1.X.3.1.1.2.1.4;S*G*UCATM-;"ARMOUR TRACK, MEDIUM"
1.X.3.1.1.2.1.5;S*G*UCATH-;"ARMOUR TRACK, HEAVY"
1.X.3.1.1.2.1.6;S*G*UCATR-;"ARMOUR TRACK, RECOVERY"
1.X.3.1.1.2.2;S*G*UCAW--;"ARMOUR, WHEELED"
1.X.3.1.1.2.2.1;S*G*UCAWS-;"ARMOUR, WHEELED AIR ASSAULT"
1.X.3.1.1.2.2.2;S*G*UCAWA-;"ARMOUR, WHEELED AIRBORNE"
1.X.3.1.1.2.2.3;S*G*UCAWA-;"ARMOUR, WHEELED AMPHIBIOUS"
1.X.3.1.1.2.2.4;S*G*UCAWL-;"ARMOUR, WHEELED LIGHT"
1.X.3.1.1.2.2.5;S*G*UCAWM-;"ARMOUR, WHEELED MEDIUM"
1.X.3.1.1.2.2.6;S*G*UCAWH-;"ARMOUR, WHEELED HEAVY"
1.X.3.1.1.2.2.7;S*G*UCAWR-;"ARMOUR, WHEELED RECOVERY"
1.X.3.1.1.3;S*G*UCAA--;ANTI ARMOUR
1.X.3.1.1.3.1;S*G*UCAAD-;ANTI ARMOUR DISMOUNTED
1.X.3.1.1.3.2;S*G*UCAAL-;ANTI ARMOUR LIGHT
1.X.3.1.1.3.3;S*G*UCAAM-;ANTI ARMOUR AIRBORNE
1.X.3.1.1.3.4;S*G*UCAAS-;ANTI ARMOUR AIR ASSAULT
1.X.3.1.1.3.5;S*G*UCAAU-;ANTI ARMOUR MOUNTAIN
1.X.3.1.1.3.6;S*G*UCAAC-;ANTI ARMOUR ARCTIC
1.X.3.1.1.3.7;S*G*UCAAA-;ANTI ARMOUR ARMOURED
1.X.3.1.1.3.7.1;S*G*UCAAAT;ANTI ARMOUR ARMOURED TRACKED
1.X.3.1.1.3.7.2;S*G*UCAAAW;ANTI ARMOUR ARMOURED WHEELED
1.X.3.1.1.3.7.3;S*G*UCAAAS;ANTI ARMOUR ARMOURED AIR ASSAULT
1.X.3.1.1.3.8;S*G*UCAAO-;ANTI ARMOUR MOTORIZED
1.X.3.1.1.3.8.1;S*G*UCAAOS;ANTI ARMOUR MOTORIZED AIR ASSAULT
1.X.3.1.1.4;S*G*UCV---;AVIATION
1.X.3.1.1.4.1;S*G*UCVF--;FIXED WING
1.X.3.1.1.4.1.1;S*G*UCVFU-;UTILITY FIXED WING
1.X.3.1.1.4.1.2;S*G*UCVFA-;ATTACK FIXED WING
1.X.3.1.1.4.1.2.1;S*G*UCVUTP;TACTICAL AIR CONTROL PARTY (TACP)
1.X.3.1.1.4.1.2.2;S*G*UCVUFC;FORWARD AIR CONTROLLER (FAC)
1.X.3.1.1.4.1.3;S*G*UCVFR-;RECON FIXED WING
1.X.3.1.1.4.2;S*G*UCVR--;ROTARY WING
1.X.3.1.1.4.2.1;S*G*UCVRA-;ATTACK ROTARY WING
1.X.3.1.1.4.2.2;S*G*UCVRS-;SCOUT ROTARY WING
1.X.3.1.1.4.2.3;S*G*UCVRW-;ANTISUBMARINE WARFARE ROTARY WING
1.X.3.1.1.4.2.4;S*G*UCVRU-;UTILITY ROTARY WING
1.X.3.1.1.4.2.4.1;S*G*UCVRUL;LIGHT UTILITY ROTARY WING
1.X.3.1.1.4.2.4.2;S*G*UCVRUM;MEDIUM UTILITY ROTARY WING
1.X.3.1.1.4.2.4.3;S*G*UCVRUH;HEAVY UTILITY ROTARY WING
1.X.3.1.1.4.2.5;S*G*UCVRUC;C2 ROTARY WING
1.X.3.1.1.4.2.6;S*G*UCVRUE;MEDEVAC ROTARY WING
1.X.3.1.1.4.2.7;S*G*UCVRM-;MINE COUNTERMEASURE ROTARY WING
1.X.3.1.1.4.3;S*G*UCVS--;PERSONNEL RECOVERY
1.X.3.1.1.4.4;S*G*UCVC--;COMPOSITE
1.X.3.1.1.4.5;S*G*UCVV--;VERTICAL/SHORT TAKEOFF AND LANDING (V/STOL)
1.X.3.1.1.4.6;S*G*UCVU--;UNMANNED AERIAL VEHICLE
1.X.3.1.1.4.6.1;S*G*UCVUF-;UNMANNED AERIAL VEHICLE FIXED WING
1.X.3.1.1.4.6.1.1;S*G*UCVU--;AVIATION UAV CONTROL
1.X.3.1.1.4.6.1.2;S*G*UCVU--;AVIATION UAV LAUNCHER
1.X.3.1.1.4.6.1.3;S*G*UCVU--;AVIATION UAV RECOVERY
1.X.3.1.1.4.6.2;S*G*UCVUR-;UNMANNED AERIAL VEHICLE ROTARY WING
1.X.3.1.1.4.6.3;S*G*UCVUTP;TACTICAL AIR CONTROL PARTY (TACP)
1.X.3.1.1.4.6.4;S*G*UCVUFC;FORWARD AIR CONTROLLER (FAC)
1.X.3.1.1.5;S*G*UCI---;INFANTRY
1.X.3.1.1.5.1;S*G*UCIL--;INFANTRY LIGHT
1.X.3.1.1.5.2;S*G*UCIM--;INFANTRY MOTORIZED
1.X.3.1.1.5.3;S*G*UCIO--;INFANTRY MOUNTAIN
1.X.3.1.1.5.4;S*G*UCIA--;INFANTRY AIRBORNE
1.X.3.1.1.5.5;S*G*UCIS--;INFANTRY AIR ASSAULT
1.X.3.1.1.5.6;S*G*UCIZ--;INFANTRY MECHANIZED
1.X.3.1.1.5.7;S*G*UCIN--;INFANTRY NAVAL
1.X.3.1.1.5.8;S*G*UCII--;INFANTRY FIGHTING VEHICLE
1.X.3.1.1.5.9;S*G*UCIC--;INFANTRY ARCTIC
1.X.3.1.1.5.10;S*G*UCIC--;INFANTRY SNIPER
1.X.3.1.1.6;S*G*UCE---;ENGINEER
1.X.3.1.1.6.1;S*G*UCEC--;ENGINEER COMBAT
1.X.3.1.1.6.1.1;S*G*UCECS-;ENGINEER COMBAT AIR ASSAULT
1.X.3.1.1.6.1.2;S*G*UCECA-;ENGINEER COMBAT AIRBORNE
1.X.3.1.1.6.1.3;S*G*UCECC-;ENGINEER COMBAT ARCTIC
1.X.3.1.1.6.1.4;S*G*UCECL-;ENGINEER COMBAT LIGHT
1.X.3.1.1.6.1.5;S*G*UCECM-;ENGINEER COMBAT MEDIUM
1.X.3.1.1.6.1.6;S*G*UCECH-;ENGINEER COMBAT HEAVY
1.X.3.1.1.6.1.7;S*G*UCECT-;ENGINEER COMBAT MECHANIZED (TRACK)
1.X.3.1.1.6.1.8;S*G*UCECW-;ENGINEER COMBAT MOTORIZED
1.X.3.1.1.6.1.9;S*G*UCECO-;ENGINEER COMBAT MOUNTAIN
1.X.3.1.1.6.1.10;S*G*UCECR-;ENGINEER COMBAT RECON
1.X.3.1.1.6.1.11;S*G*UCEC--;ENGINEER COMBAT BRIDGING
1.X.3.1.1.6.1.12;S*G*UCEC--;ENGINEER COMBAT MINE CLEARING
1.X.3.1.1.6.1.13;S*G*UCEC--;ENGINEER COMBAT MINE LAYING
1.X.3.1.1.6.1.14;S*G*UCEC--;ENGINEER COMBAT DIVING
1.X.3.1.1.6.2;S*G*UCEN--;ENGINEER CONSTRUCTION
1.X.3.1.1.6.2.1;S*G*UCENN-;ENGINEER NAVAL CONSTRUCTION
1.X.3.1.1.7;S*G*UCF---;FIELD ARTILLERY
