name;nom
SPACE TRACK;PISTE SPATIALE
SATELLITE;SATELLITE
CREWED SPACE VEHICLE;VEHICULE SPATIAL AVEC EQUIPAGE
SPACE STATION;STATION SPATIALE
SPACE LAUNCH VEHICLE;VEHICULE DE LANCEMENT SPATIAL
AIR TRACK;PISTE AERIENNE
MILITARY;MILITAIRE
FIXED WING;AILE FIXE
BOMBER;BOMBARDIER
FIGHTER;CHASSEUR
INTERCEPTOR;INTERCEPTEUR
TRAINER;FORMATEUR
ATTACK/STRIKE;ATTAQUE/FRAPPE
V/STOL;V/STOL
TANKER;CITERNE
TANKER BOOM-ONLY;RAVITAILLEUR A FLECHE UNIQUEMENT
TANKER DROGUE-ONLY;RAVITAILLEUR DOSEUR UNIQUEMENT
CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT)
CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER)
CARGO AIRLIFT (MEDIUM);TRANSPORT AERIEN DE FRET (MOYEN)
CARGO AIRLIFT (HEAVY);TRANSPORT AERIEN DE FRET (LOURD)
ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER)
MEDICAL EVACUATION (MEDEVAC);EVACUATION MEDICALE (MEDEVAC)
RECONNAISSANCE;RECONNAISSANCE
AIRBORNE EARLY WARNING (AEW);ALERTE PRECOCE AEROPORTEE (AEW)
ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ELECTRONIQUE
PHOTOGRAPHIC;PHOTOGRAPHIE
PATROL;PATROUILLE
ANTISURFACE WARFARE (ASUW);GUERRE ANTISURFACE (ASUW)
MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES
UTILITY;UTILITE
UTILITY (LIGHT);UTILITAIRE (LEGER)
UTILITY (MEDIUM);UTILITAIRE (MOYEN)
UTILITY (HEAVY);UTILITAIRE (LOURD)
COMMUNICATIONS;COMMUNICATIONS
COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE AU COMBAT (CSAR)
AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AEROPORTE (C2)
DRONE (RPV/UA);DRONE (RPV/UA)
ATTACK;ATTAQUE
BOMBER;BOMBARDIER
CARGO;CARGO
AIRBORNE COMMAND POST;POSTE DE COMMANDEMENT AEROPORTE
FIGHTER;CHASSEUR
SEARCH & RESCUE (CSAR);RECHERCHE ET SAUVETAGE (CSAR)
ELECTRONIC COUNTERMEASURES (JAMMER);CONTRE-MESURES ELECTRONIQUES (BROUILLEUR)
TANKER;RESERVOIR
V/STOL;V/STOL
SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF)
MINE COUNTERMEASURES;LUTTE CONTRE LES MINES
ANTISURFACE WARFARE (ASUW);GUERRE ANTISURFACE (ASUW)
PATROL;PATROUILLE
RECONNAISSANCE;RECONNAISSANCE
AIRBORNE EARLY WARNING (AEW);ALERTE PRECOCE AEROPORTEE (AEW)
ELECTRONIC SURVEILLANCE MEASURES;MESURES DE SURVEILLANCE ELECTRONIQUE
PHOTOGRAPHIC;PHOTOGRAPHIE
ANTISUBMARINE WARFARE (ASW);LUTTE ANTI-SOUS-MARINE (GASM)
TRAINER;FORMATEUR
UTILITY;UTILITAIRE
COMMUNICATIONS;COMMUNICATIONS
MEDEVAC;MEDEVAC
ANTISUBMARINE WARFARE (ASW) CARRIER BASED;GUERRE ANTI-SOUS-MARINE (ASW) SUR PORTE-AVIONS
SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF)
ROTARY WING;AILE ROTATIVE
ATTACK;ATTAQUE
ANTISUBMARINE WARFARE/MPA;LUTTE ANTI-SOUS-MARINE/MPA
UTILITY;UTILITAIRE
UTILITY (LIGHT);UTILITAIRE (LEGER)
UTILITY (MEDIUM);UTILITAIRE (MOYEN)
UTILITY (HEAVY);UTILITAIRE (LOURD)
MINE COUNTERMEASURES;LUTTE CONTRE LES MINES
COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE AU COMBAT (CSAR)
RECONNAISSANCE;RECONNAISSANCE
DRONE (RPV/UA);DRONE (RPV/UA)
CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT)
CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER)
CARGO AIRLIFT (MEDIUM);TRANSPORT AERIEN DE FRET (MOYEN)
CARGO AIRLIFT (HEAVY);TRANSPORT AERIEN DE FRET (LOURD)
TRAINER;FORMATEUR
MEDEVAC;MEDEVAC
SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF)
AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AEROPORTE (C2)
TANKER;RESERVOIR
ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER)
LIGHTER THAN AIR;PLUS LEGER QUE L'AIR
VERY IMPORTANT PERSON (VIP);PERSONNE TRES IMPORTANTE (VIP)
ESCORT;ESCORTE
WEAPON;ARME
MISSILE IN FLIGHT;MISSILE EN VOL
SURFACE LAUNCHED MISSILE;MISSILE LANCE EN SURFACE
SURFACE-TO-SURFACE MISSILE (SSM);MISSILE SURFACE-SURFACE (SSM)
SURFACE-TO-AIR MISSILE (SAM);MISSILE SURFACE-AIR (SAM)
SURFACE-TO-SUBSURFACE MISSILE;MISSILE SURFACE-SURFACE
ANTIBALLISTIC MISSILE (ABM);MISSILE ANTIBALISTIQUE (ABM)
AIR LAUNCHED MISSILE;MISSILE LANCE PAR VOIE AERIENNE
AIR-TO-SURFACE MISSILE (ASM);MISSILE AIR-SURFACE (ASM)
