hierarchy;SIDC;fullpath;name;nameFR;icon-png;icon-svg
1.X.1;S*P*------;SPACE TRACK;SPACE TRACK;SUIVI SPATIAL;1.X.1.png;1.X.1.svg
1.X.1.1;S*P*S-----;SPACE TRACK|SATELLITE;SATELLITE;SATELLITE;1.X.1.1.png;1.X.1.1.svg
1.X.1.2;S*P*V-----;SPACE TRACK|CREWED SPACE VEHICLE;CREWED SPACE VEHICLE;VÉHICULE SPATIAL HABITÉ;1.X.1.2.png;1.X.1.2.svg
1.X.1.3;S*P*T-----;SPACE TRACK|SPACE STATION;SPACE STATION;STATION SPATIALE;1.X.1.3.png;1.X.1.3.svg
1.X.2;S*A*------;AIR TRACK;AIR TRACK;PISTE AÉRIENNE;1.X.2.png;1.X.2.svg
1.X.2.1;S*A*M-----;AIR TRACK|MILITARY;MILITARY;MILITAIRE;1.X.2.1.png;1.X.2.1.svg
1.X.2.1.1;S*A*MF----;AIR TRACK|MILITARY|FIXED WING;FIXED WING;AILE FIXE;1.X.2.1.1.png;1.X.2.1.1.svg
1.X.2.1.1.1;S*A*MFB---;AIR TRACK|MILITARY|FIXED WING|BOMBER;BOMBER;BOMBARDIER;1.X.2.1.1.1.png;1.X.2.1.1.1.svg
1.X.2.1.1.2;S*A*MFF---;AIR TRACK|MILITARY|FIXED WING|FIGHTER;FIGHTER;CHASSEUR;1.X.2.1.1.2.png;1.X.2.1.1.2.svg
1.X.2.1.1.2.1;S*A*MFFI--;AIR TRACK|MILITARY|FIXED WING|FIGHTER|INTERCEPTOR;INTERCEPTOR;INTERCEPTEUR;1.X.2.1.1.2.1.png;1.X.2.1.1.2.1.svg
1.X.2.1.1.3;S*A*MFT---;AIR TRACK|MILITARY|FIXED WING|TRAINER;TRAINER;ENTRAÎNEUR;1.X.2.1.1.3.png;1.X.2.1.1.3.svg
1.X.2.1.1.4;S*A*MFA---;AIR TRACK|MILITARY|FIXED WING|ATTACK/STRIKE;ATTACK/STRIKE;ATTAQUE/FRAPPE;1.X.2.1.1.4.png;1.X.2.1.1.4.svg
1.X.2.1.1.5;S*A*MFL---;AIR TRACK|MILITARY|FIXED WING|VSTOL;VSTOL;DÉCOLLAGE VERTICAL ET ATTERRISSAGE COURT (DVAC);1.X.2.1.1.5.png;1.X.2.1.1.5.svg
1.X.2.1.1.6;S*A*MFK---;AIR TRACK|MILITARY|FIXED WING|TANKER;TANKER;RAVITAILLEUR;1.X.2.1.1.6.png;1.X.2.1.1.6.svg
