APP6-C-Domain;APP6-C-FullPath;APP6-NAME;APP6-NAME-FR;APP6-C-HIERARCHY-NAME;APP6-C-HIERARCHY;APP6-B-SIDC;APP6-C-SIDC;APP6-D-SIDC;APP6-D-Domain;APP6-D-Entity;APP6-D-EntityType;APP6-D-EntitySubtype
SIGNALS-INTELLIGENCE;SPACE TRACK;SPACE TRACK;PISTE SPATIALE;SIGINT.SPC;1.X.1;I*P*------;I*P*------;;;;;
SPACE;SPACE TRACK;SPACE TRACK;PISTE SPATIALE;SPC;1.X.1;S*P*------;S*P*------;;;;;
SPACE;SPACE TRACK|SATELLITE;SATELLITE;SATELLITE;SPC.SAT;1.X.1.1;S*P*S-----;S*P*S-----;10030500001107000000;SPACE;Military;Satellite;
SPACE;SPACE TRACK|CREWED SPACE VEHICLE;CREWED SPACE VEHICLE;VEHICULE SPATIAL AVEC EQUIPAGE;SPC.CSV;1.X.1.2;S*P*V-----;S*P*V-----;;;;;
SPACE;SPACE TRACK|SPACE STATION;SPACE STATION;STATION SPATIALE;SPC.SST;1.X.1.3;S*P*T-----;S*P*T-----;10030500001116000000;SPACE;Military;Space Station;
SPACE;SPACE TRACK|SPACE LAUNCH VEHICLE;SPACE LAUNCH VEHICLE;VEHICULE DE LANCEMENT SPATIAL;SPC.SLV;1.X.1.4;S*P*L-----;S*P*L-----;10030500001119000000;SPACE;Military;Space Launched Vehicle (SLV);
SIGNALS-INTELLIGENCE;AIR TRACK;AIR TRACK;PISTE AERIENNE;SIGINT.AIRTRK;1.X.2;I*A*------;I*A*------;;;;;
AIR;AIR TRACK;AIR TRACK;PISTE AERIENNE;AIRTRK;1.X.2;S*A*------;S*A*------;;;;;
AIR;AIR TRACK|MILITARY;MILITARY;MILITAIRE;AIRTRK.MIL;1.X.2.1;S*A*M-----;S*A*M-----;10030100001100000000;AIR;Military;;
AIR;AIR TRACK|MILITARY|FIXED WING|FIGHTER|INTERCEPTOR;INTERCEPTOR;INTERCEPTEUR;AIRTRK.MIL.FIXD.FTR.INCR;1.X.2.1.1.2.1;S*A*MFFI--;S*A*MFFI--;10030100001101020500;AIR;Military;Fixed Wing;Attack/Strike
AIR;AIR TRACK|MILITARY|FIXED WING|ATTACK/STRIKE;ATTACK/STRIKE;ATTAQUE/FRAPPE;AIRTRK.MIL.FIXD.ATK;1.X.2.1.1.4;S*A*MFA---;S*A*MFA---;10030100001101020000;AIR;Military;Fixed Wing;Attack/Strike
AIR;AIR TRACK|MILITARY|FIXED WING|TANKER|TANKER BOOM-ONLY;TANKER BOOM-ONLY;RAVITAILLEUR A FLECHE UNIQUEMENT;AIRTRK.MIL.FIXD.TNK.BOOM;1.X.2.1.1.6.1;S*A*MFKB--;S*A*MFKB--;10030100001101090004;AIR;Military;Fixed Wing;Tanker
AIR;AIR TRACK|MILITARY|FIXED WING|TANKER|TANKER DROGUE-ONLY;TANKER DROGUE-ONLY;RAVITAILLEUR DOSEUR UNIQUEMENT;AIRTRK.MIL.FIXD.TNK.DROG;1.X.2.1.1.6.2;S*A*MFKD--;S*A*MFKD--;10030100001101090005;AIR;Military;Fixed Wing;Tanker
AIR;AIR TRACK|MILITARY|FIXED WING|MEDICAL EVACUATION (MEDEVAC);MEDICAL EVACUATION (MEDEVAC);EVACUATION MEDICALE (MEDEVAC);AIRTRK.MIL.FIXD.MEDV;1.X.2.1.1.9;S*A*MFO---;S*A*MFO---;10030100001101010000;AIR;Military;Fixed Wing;Medical Evacuation (MEDEVAC)
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|BOMBER;BOMBER;BOMBARDIER;AIRTRK.MIL.FIXD.BMB;1.X.2.1.1.16.2;S*A*MFB---;S*A*MFB---;10030100001101030000;AIR;Military;Fixed Wing;Bomber
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|BOMBER;BOMBER;BOMBARDIER;AIRTRK.MIL.FIXD.DRN.BMB;1.X.2.1.1.16.2;S*A*MFQB--;S*A*MFQB--;10030100001103000200;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|AIRBORNE COMMAND POST;AIRBORNE COMMAND POST;POSTE DE COMMANDEMENT AEROPORTE;AIRTRK.MIL.FIXD.DRN.ABNCP;1.X.2.1.1.16.4;S*A*MFQD--;S*A*MFQD--;10030100001103001100;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|FIGHTER;FIGHTER;CHASSEUR;AIRTRK.MIL.FIXD.FTR;1.X.2.1.1.16.5;S*A*MFF---;S*A*MFF---;10030100001101040000;AIR;Military;Fixed Wing;Fighter
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|FIGHTER;FIGHTER;CHASSEUR;AIRTRK.MIL.FIXD.DRN.FTR;1.X.2.1.1.16.5;S*A*MFQF--;S*A*MFQF--;10030100001103000400;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|SEARCH & RESCUE (CSAR);SEARCH & RESCUE (CSAR);RECHERCHE ET SAUVETAGE (CSAR);AIRTRK.MIL.FIXD.DRN.CSAR;1.X.2.1.1.16.6;S*A*MFQH--;S*A*MFQH--;10030100001103003000;AIR;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
